"","Depthm","T_degC","Salnty","O2ml_L","Year"
"3875",62,14.97,33.0735,5.826,"2016"
"3876",75,14.283,33.0413,5.817,"2016"
"3877",88,13.652,33.1983,5.493,"2016"
"3878",100,12.957,33.2255,5.241,"2016"
"3879",112,12.509,33.3244,4.887,"2016"
"3880",125,10.817,33.3359,4.327,"2016"
"3881",140,9.993,33.3619,4.404,"2016"
"3882",150,9.617,33.4562,4.402,"2016"
"3883",171,9.194,33.5809,4.13,"2016"
"3884",200,8.82,33.8367,3.937,"2016"
"3885",231,8.384,33.931,3.688,"2016"
"3886",250,8.168,33.956,3.546,"2016"
"3887",271,7.815,33.9731,3.307,"2016"
"3888",300,7.469,33.9946,2.745,"2016"
"3889",320,7.226,34.0272,1.933,"2016"
"3890",381,6.46,34.0717,1.194,"2016"
"3891",400,6.285,34.0914,0.999,"2016"
"3892",441,6.047,34.1265,0.758,"2016"
"3893",500,5.722,34.1817,0.515,"2016"
"3894",515,5.643,34.1908,0.479,"2016"
"3895",0,15.405,33.5405,6.398,"2016"
"3896",2,15.405,33.5405,6.398,"2016"
"3897",6,15.42,33.5414,6.362,"2016"
"3898",10,15.309,33.5389,6.354,"2016"
"3899",20,14.2,33.5473,6.032,"2016"
"3900",30,13.537,33.5567,5.362,"2016"
"3901",40,12.697,33.5915,4.21,"2016"
"3902",0,15.855,33.5624,6.519,"2016"
"3903",2,15.855,33.5624,6.519,"2016"
"3904",6,15.599,33.5678,6.495,"2016"
"3905",10,15.452,33.5628,6.484,"2016"
"3906",11,15.277,33.5624,6.465,"2016"
"3907",10,15.277,33.5626,NA,"2016"
"3908",20,14.071,33.5597,6.187,"2016"
"3909",30,13.726,33.5648,5.659,"2016"
"3910",40,12.84,33.5591,4.593,"2016"
"3911",45,12.547,33.5576,4.162,"2016"
"3912",0,15.15,33.5687,6.335,"2016"
"3913",2,15.15,33.5687,6.335,"2016"
"3914",10,14.746,33.5746,6.178,"2016"
"3915",10,14.746,33.5701,NA,"2016"
"3916",20,13.175,33.5852,4.93,"2016"
"3917",30,12.562,33.5963,4.369,"2016"
"3918",31,12.499,33.5993,4.233,"2016"
"3919",40,11.846,33.62,3.67,"2016"
"3920",50,11.09,33.6781,3.138,"2016"
"3921",60,10.703,33.7507,2.859,"2016"
"3922",70,10.519,33.8206,2.66,"2016"
"3923",75,10.413,33.8617,2.534,"2016"
"3924",86,10.362,33.8869,2.439,"2016"
"3925",100,10.172,33.9668,2.24,"2016"
"3926",120,9.946,34.0183,2.101,"2016"
"3927",125,9.9,34.0276,2.101,"2016"
"3928",140,9.754,34.0806,1.86,"2016"
"3929",150,9.614,34.1085,1.784,"2016"
"3930",171,9.461,34.1522,1.615,"2016"
"3931",200,9.131,34.1943,1.436,"2016"
"3932",230,8.733,34.2087,1.283,"2016"
"3933",250,8.522,34.224,1.112,"2016"
"3934",270,8.364,34.2383,1.001,"2016"
"3935",300,8.142,34.2518,0.857,"2016"
"3936",320,7.905,34.263,0.768,"2016"
"3937",380,7.323,34.2879,0.5,"2016"
"3938",400,7.022,34.2956,0.412,"2016"
"3939",440,6.646,34.3127,0.305,"2016"
"3940",500,6.214,34.3345,0.215,"2016"
"3941",515,6.093,34.3392,0.212,"2016"
"3942",0,15.969,33.5355,6.123,"2016"
"3943",2,15.969,33.5355,6.123,"2016"
"3944",10,15.469,33.5267,6.089,"2016"
"3945",12,15.248,33.5256,6.081,"2016"
"3946",11,15.248,33.5359,NA,"2016"
"3947",15,15.072,33.5244,6.003,"2016"
"3948",20,14.814,33.5204,5.824,"2016"
"3949",22,14.385,33.5119,5.753,"2016"
"3950",28,13.22,33.4991,4.594,"2016"
"3951",30,12.908,33.5079,4.538,"2016"
"3952",38,12.289,33.5069,3.967,"2016"
"3953",48,12.035,33.519,3.827,"2016"
"3954",50,11.992,33.5156,3.795,"2016"
"3955",60,11.656,33.5607,3.583,"2016"
"3956",70,11.07,33.6647,3.198,"2016"
"3957",75,10.969,33.6788,3.149,"2016"
"3958",85,10.713,33.7374,2.938,"2016"
"3959",100,10.44,33.8642,2.557,"2016"
"3960",120,10.044,33.9829,2.175,"2016"
"3961",125,10.003,33.9963,2.167,"2016"
"3962",140,9.872,34.0747,1.899,"2016"
"3963",150,9.846,34.0791,1.869,"2016"
"3964",170,9.504,34.1045,1.81,"2016"
"3965",200,9.104,34.1857,1.451,"2016"
"3966",230,8.682,34.2198,1.213,"2016"
"3967",250,8.445,34.2215,1.083,"2016"
"3968",270,8.238,34.2479,0.939,"2016"
"3969",300,8.05,34.2582,0.805,"2016"
"3970",320,7.852,34.2869,0.694,"2016"
"3971",380,7.331,34.2967,0.494,"2016"
"3972",400,7.208,34.2986,0.441,"2016"
"3973",440,6.739,34.3166,0.323,"2016"
"3974",500,6.316,34.3311,0.231,"2016"
"3975",515,6.233,34.3487,0.235,"2016"
"3976",600,5.65,34.3729,0.154,"2016"
"3977",700,5.15,34.4026,0.176,"2016"
"3978",721,5.138,34.4053,0.199,"2016"
"3979",0,14.333,33.4501,7.844,"2016"
"3980",2,14.333,33.4501,7.844,"2016"
"3981",10,13.687,33.465,6.536,"2016"
"3982",10,13.687,33.462,NA,"2016"
"3983",20,13.446,33.4736,6.257,"2016"
"3984",30,13.125,33.4805,5.94,"2016"
"3985",40,12.607,33.4938,5.572,"2016"
"3986",50,11.579,33.4838,4.597,"2016"
"3987",60,11.255,33.4995,4.246,"2016"
"3988",70,10.995,33.5996,3.71,"2016"
"3989",75,10.814,33.6326,3.35,"2016"
"3990",85,10.453,33.695,3.097,"2016"
"3991",98,10.014,33.7893,2.77,"2016"
"3992",100,10.043,33.7885,2.749,"2016"
"3993",120,9.81,34.0512,2.021,"2016"
"3994",125,9.814,34.093,2.086,"2016"
"3995",140,9.733,34.157,1.66,"2016"
"3996",150,9.519,34.1503,1.644,"2016"
"3997",170,9.337,34.1774,1.535,"2016"
"3998",200,9.07,34.1739,1.499,"2016"
"3999",230,8.704,34.1972,1.33,"2016"
"4000",250,8.582,34.202,1.285,"2016"
"4001",270,8.359,34.2215,1.099,"2016"
"4002",300,8.149,34.238,0.934,"2016"
"4003",320,7.921,34.2542,0.807,"2016"
"4004",381,7.505,34.2867,0.53,"2016"
"4005",400,7.218,34.2961,0.441,"2016"
"4006",440,6.713,34.3129,0.315,"2016"
"4007",500,6.208,34.3362,0.22,"2016"
"4008",515,6.136,34.3406,0.208,"2016"
"4009",0,14.565,33.401,7.071,"2016"
"4010",2,14.565,33.401,7.071,"2016"
"4011",5,13.998,33.4006,7.088,"2016"
"4012",10,13.631,33.4306,6.724,"2016"
"4013",10,13.631,33.4319,NA,"2016"
"4014",11,13.628,33.4321,6.739,"2016"
"4015",20,13.437,33.4842,6.5,"2016"
"4016",21,13.441,33.4827,6.508,"2016"
"4017",30,13.247,33.4913,6.392,"2016"
"4018",40,13.046,33.4921,6.129,"2016"
"4019",50,12.776,33.5308,5.828,"2016"
"4020",61,11.913,33.5559,4.69,"2016"
"4021",0,15.836,33.2502,5.907,"2016"
"4022",2,15.836,33.2502,5.907,"2016"
"4023",10,15.18,33.2814,6.006,"2016"
"4024",10,15.18,33.2822,NA,"2016"
"4025",20,14.446,33.3251,6.054,"2016"
"4026",30,14.25,33.3605,6.303,"2016"
"4027",40,13.615,33.4032,6.188,"2016"
"4028",50,12.913,33.3286,5.46,"2016"
"4029",60,11.626,33.3722,5.137,"2016"
"4030",70,10.941,33.3245,4.372,"2016"
"4031",75,10.46,33.3882,4.301,"2016"
"4032",85,10.142,33.5218,3.621,"2016"
"4033",100,10.075,33.7298,2.957,"2016"
"4034",121,9.795,33.8512,2.602,"2016"
"4035",125,9.792,33.8536,2.599,"2016"
"4036",141,9.643,33.8782,2.617,"2016"
"4037",150,9.375,33.9429,2.374,"2016"
"4038",170,9.133,33.9671,2.34,"2016"
"4039",200,8.479,33.9888,2.377,"2016"
"4040",230,8.231,34.0278,2.17,"2016"
"4041",250,8.139,34.1123,1.661,"2016"
"4042",272,7.802,34.121,1.455,"2016"
"4043",300,7.511,34.1259,1.292,"2016"
"4044",322,7.425,34.1796,1.032,"2016"
"4045",381,7.031,34.2567,0.598,"2016"
"4046",400,6.892,34.2594,0.54,"2016"
"4047",442,6.606,34.2678,0.482,"2016"
"4048",500,6.034,34.2987,0.305,"2016"
"4049",516,5.995,34.3029,0.306,"2016"
"4050",0,15.008,33.3087,6.066,"2016"
"4051",1,15.008,33.3087,6.066,"2016"
"4052",10,15.01,33.3121,6.09,"2016"
"4053",10,15.01,33.3054,NA,"2016"
"4054",20,14.279,33.3509,6.35,"2016"
"4055",30,13.848,33.3375,6.3,"2016"
"4056",41,13.573,33.3441,6.146,"2016"
"4057",50,13.063,33.3511,5.691,"2016"
"4058",61,12.331,33.402,5.134,"2016"
"4059",70,12.243,33.4713,5.251,"2016"
"4060",75,11.682,33.4357,5.133,"2016"
"4061",86,11.289,33.4357,4.72,"2016"
"4062",100,10.008,33.3676,4.206,"2016"
"4063",120,9.655,33.5729,3.532,"2016"
"4064",125,9.572,33.6081,3.513,"2016"
"4065",142,9.232,33.7068,3.151,"2016"
"4066",150,9.158,33.7754,2.992,"2016"
"4067",168,8.947,33.8903,2.671,"2016"
"4068",200,8.625,34.0057,2.295,"2016"
"4069",201,8.583,34.007,2.299,"2016"
"4070",231,8.413,34.1153,1.656,"2016"
"4071",250,8.215,34.103,1.712,"2016"
"4072",270,8.052,34.1449,1.409,"2016"
"4073",300,7.866,34.1728,1.186,"2016"
"4074",321,7.719,34.1992,1.078,"2016"
"4075",382,7.088,34.21,0.741,"2016"
"4076",400,6.83,34.2475,0.589,"2016"
"4077",440,6.385,34.259,0.438,"2016"
"4078",500,6.076,34.2827,0.333,"2016"
"4079",516,5.966,34.2915,0.307,"2016"
"4080",0,15.776,33.1373,5.78,"2016"
"4081",2,15.776,33.1373,5.78,"2016"
"4082",8,15.752,33.1378,NA,"2016"
"4083",9,15.753,33.1404,5.781,"2016"
"4084",10,15.753,33.1386,5.754,"2016"
"4085",15,15.701,33.1447,5.787,"2016"
"4086",19,15.229,33.1613,5.862,"2016"
"4087",20,15.094,33.1675,5.86,"2016"
"4088",27,14.981,33.1896,5.905,"2016"
"4089",30,14.917,33.1999,5.89,"2016"
"4090",36,14.758,33.2163,5.889,"2016"
"4091",47,14.051,33.2384,NA,"2016"
"4092",48,13.971,33.2456,5.751,"2016"
"4093",50,13.786,33.2641,5.498,"2016"
"4094",60,12.846,33.2813,5.11,"2016"
"4095",73,12.088,33.3514,4.606,"2016"
"4096",75,11.837,33.3602,4.551,"2016"
"4097",86,11.411,33.4045,4.175,"2016"
"4098",100,10.725,33.4426,3.902,"2016"
"4099",120,10.305,33.5956,3.388,"2016"
"4100",125,10.422,33.6083,3.329,"2016"
"4101",141,10.169,33.7252,2.976,"2016"
"4102",150,10.386,33.8841,2.528,"2016"
"4103",171,9.811,33.9629,2.243,"2016"
"4104",200,9.34,34.0584,1.989,"2016"
"4105",201,9.341,34.0325,2.063,"2016"
"4106",230,9.077,34.1075,1.746,"2016"
"4107",250,8.634,34.1431,1.535,"2016"
"4108",271,8.288,34.15,1.416,"2016"
"4109",300,8.064,34.1799,1.199,"2016"
"4110",320,7.76,34.1735,1.142,"2016"
"4111",381,7.298,34.2043,0.798,"2016"
"4112",400,7.102,34.2189,0.719,"2016"
"4113",440,6.804,34.2414,0.567,"2016"
"4114",500,6.209,34.2514,0.388,"2016"
"4115",516,6.223,34.271,0.372,"2016"
"4116",0,15.627,33.205,5.793,"2016"
"4117",2,15.627,33.205,5.793,"2016"
"4118",10,15.626,33.2197,5.799,"2016"
"4119",10,15.626,33.2099,NA,"2016"
"4120",20,14.868,33.3555,6.193,"2016"
"4121",30,14.399,33.3631,6.077,"2016"
"4122",41,13.868,33.3577,5.767,"2016"
"4123",50,13.433,33.4112,5.58,"2016"
"4124",60,13.289,33.4362,5.442,"2016"
"4125",70,13.012,33.469,5.199,"2016"
"4126",75,12.935,33.4745,5.256,"2016"
"4127",85,11.954,33.4061,4.563,"2016"
"4128",100,11.058,33.4354,3.907,"2016"
"4129",120,9.996,33.526,3.565,"2016"
"4130",125,9.973,33.5222,3.584,"2016"
"4131",141,9.621,33.5604,3.533,"2016"
"4132",150,9.544,33.6337,3.39,"2016"
"4133",170,9.162,33.7863,2.931,"2016"
"4134",200,8.786,33.9342,2.56,"2016"
"4135",230,8.373,34.0172,2.288,"2016"
"4136",250,8.129,34.0454,2.056,"2016"
"4137",269,7.808,34.0789,1.742,"2016"
"4138",300,7.631,34.112,1.418,"2016"
"4139",320,7.447,34.1291,1.227,"2016"
"4140",380,6.949,34.1745,0.804,"2016"
"4141",400,6.761,34.1898,0.698,"2016"
"4142",441,6.559,34.2012,0.603,"2016"
"4143",500,6.137,34.2492,0.374,"2016"
"4144",517,6.005,34.2553,0.35,"2016"
"4145",0,16.071,33.0944,5.692,"2016"
"4146",2,16.071,33.0944,5.692,"2016"
"4147",10,16.008,33.1359,5.685,"2016"
"4148",10,16.008,33.1361,NA,"2016"
"4149",11,15.875,33.1375,5.713,"2016"
"4150",20,15.738,33.1123,5.722,"2016"
"4151",26,15.728,33.1196,5.761,"2016"
"4152",30,15.721,33.1174,5.726,"2016"
"4153",40,15.681,33.1157,5.768,"2016"
"4154",50,15.698,33.1268,5.78,"2016"
"4155",63,15.595,33.1198,5.787,"2016"
"4156",75,15.037,33.0997,5.847,"2016"
"4157",88,14.369,33.1559,5.783,"2016"
"4158",100,13.513,33.1966,5.465,"2016"
"4159",112,12.795,33.2095,5.231,"2016"
"4160",125,11.167,33.2298,4.648,"2016"
"4161",140,10.064,33.3508,4.124,"2016"
"4162",150,9.805,33.4461,3.855,"2016"
"4163",171,9.35,33.6517,3.43,"2016"
"4164",200,9.09,33.8784,2.711,"2016"
"4165",201,9.075,33.8738,2.78,"2016"
"4166",231,8.811,34.0009,2.308,"2016"
"4167",250,8.489,34.0296,2.261,"2016"
"4168",270,8.156,34.0275,2.236,"2016"
"4169",300,7.964,34.0714,1.856,"2016"
"4170",321,8.019,34.1421,1.374,"2016"
"4171",382,7.191,34.1641,0.963,"2016"
"4172",400,7.126,34.1726,0.864,"2016"
"4173",441,6.745,34.1848,0.71,"2016"
"4174",500,6.196,34.1969,0.533,"2016"
"4175",516,6.131,34.2168,0.485,"2016"
"4176",0,16.421,33.0824,5.691,"2016"
"4177",1,16.421,33.0824,5.691,"2016"
"4178",9,16.408,33.0893,5.677,"2016"
"4179",10,16.363,33.1046,5.648,"2016"
"4180",9,16.363,33.1094,NA,"2016"
"4181",20,15.899,33.1659,5.714,"2016"
"4182",25,15.869,33.1739,5.736,"2016"
"4183",30,15.832,33.1628,5.697,"2016"
"4184",40,15.758,33.163,5.743,"2016"
"4185",50,15.706,33.1626,5.741,"2016"
"4186",63,15.606,33.1681,5.752,"2016"
"4187",75,15.456,33.1514,5.729,"2016"
"4188",76,15.325,33.1538,5.749,"2016"
"4189",87,14.406,33.1382,5.831,"2016"
"4190",100,13.548,33.2053,5.417,"2016"
"4191",101,13.543,33.2118,5.426,"2016"
"4192",112,12.194,33.2208,4.937,"2016"
"4193",125,10.706,33.2629,4.524,"2016"
"4194",126,10.715,33.2668,4.513,"2016"
"4195",140,9.885,33.3621,4.326,"2016"
"4196",150,9.617,33.4691,4.086,"2016"
"4197",170,9.293,33.6522,3.444,"2016"
"4198",200,8.887,33.8351,2.948,"2016"
"4199",201,8.898,33.8354,3.052,"2016"
"4200",231,8.487,33.9701,2.706,"2016"
"4201",250,8.337,34.0276,2.434,"2016"
"4202",270,8.092,34.059,2.072,"2016"
"4203",300,7.784,34.0644,1.918,"2016"
"4204",321,7.492,34.0892,1.613,"2016"
"4205",381,7.133,34.1495,1.034,"2016"
"4206",400,6.941,34.1517,0.924,"2016"
"4207",440,6.58,34.1675,0.773,"2016"
"4208",500,6.305,34.2323,0.484,"2016"
"4209",515,6.196,34.235,0.466,"2016"
"4210",0,16.605,33.2738,5.627,"2016"
"4211",2,16.605,33.2738,5.627,"2016"
"4212",10,16.525,33.2541,5.629,"2016"
"4213",12,16.523,33.2579,5.629,"2016"
"4214",12,16.523,33.2549,NA,"2016"
"4215",20,16.505,33.2517,5.632,"2016"
"4216",22,16.484,33.2544,5.653,"2016"
"4217",30,15.643,33.1473,5.735,"2016"
"4218",37,15.447,33.0927,5.834,"2016"
"4219",45,15.386,33.0855,5.82,"2016"
"4220",50,15.37,33.0836,5.82,"2016"
"4221",54,15.352,33.0849,5.821,"2016"
"4222",67,15.199,33.0826,5.82,"2016"
"4223",75,14.904,33.063,5.826,"2016"
"4224",80,14.876,33.0949,5.843,"2016"
"4225",93,14.661,33.0947,5.805,"2016"
"4226",93,14.662,33.0951,NA,"2016"
"4227",100,14.994,33.3809,5.491,"2016"
"4228",104,14.474,33.3437,5.43,"2016"
"4229",115,12.892,33.219,5.266,"2016"
"4230",125,11.674,33.2625,5.029,"2016"
"4231",128,11.483,33.2682,5.043,"2016"
"4232",140,10.506,33.2965,4.915,"2016"
"4233",150,10.102,33.3623,4.796,"2016"
"4234",170,9.512,33.5207,3.96,"2016"
"4235",200,8.97,33.7445,3.36,"2016"
"4236",230,8.483,33.9486,2.782,"2016"
"4237",250,8.228,33.9889,2.573,"2016"
"4238",270,7.954,34.0363,2.12,"2016"
"4239",300,7.723,34.1053,1.531,"2016"
"4240",321,7.325,34.1008,1.349,"2016"
"4241",381,7.095,34.2062,0.755,"2016"
"4242",400,6.87,34.1981,0.678,"2016"
"4243",440,6.496,34.2276,0.547,"2016"
"4244",500,5.976,34.2221,0.449,"2016"
"4245",515,5.904,34.2351,0.418,"2016"
"4246",0,15.339,33.5396,6.451,"2016"
"4247",1,15.339,33.5396,6.451,"2016"
"4248",6,15.228,33.5537,6.474,"2016"
"4249",10,14.967,33.5632,6.482,"2016"
"4250",11,14.667,33.5537,6.415,"2016"
"4251",16,14.2,33.5518,6.199,"2016"
"4252",20,14.119,33.5567,5.901,"2016"
"4253",0,15.834,33.5266,6.403,"2016"
"4254",2,15.834,33.5266,6.403,"2016"
"4255",5,15.608,33.528,6.503,"2016"
"4256",10,14.934,33.5262,6.302,"2016"
"4257",15,14.026,33.528,4.727,"2016"
"4258",0,16.457,33.5458,6.21,"2016"
"4259",2,16.457,33.5458,6.21,"2016"
"4260",6,16.325,33.5442,6.258,"2016"
"4261",10,15.403,33.5356,6.215,"2016"
"4262",20,15.004,33.5326,6.156,"2016"
"4263",0,16.453,33.5423,6.263,"2016"
"4264",1,16.453,33.5423,6.263,"2016"
"4265",8,16.225,33.5423,6.281,"2016"
"4266",10,15.729,33.5435,6.271,"2016"
"4267",11,15.27,33.5365,6.266,"2016"
"4268",10,15.27,33.5386,NA,"2016"
"4269",18,13.978,33.5126,5.384,"2016"
"4270",20,13.725,33.5252,5.285,"2016"
"4271",24,13.249,33.5246,4.624,"2016"
"4272",30,12.692,33.5457,4.235,"2016"
"4273",31,12.216,33.548,3.66,"2016"
"4274",39,11.613,33.5955,3.274,"2016"
"4275",45,11.4,33.6332,3.097,"2016"
"4276",50,11.088,33.6764,2.958,"2016"
"4277",51,11.108,33.6702,2.959,"2016"
"4278",60,10.886,33.7349,2.778,"2016"
"4279",70,10.778,33.8085,2.6,"2016"
"4280",75,10.757,33.8337,2.547,"2016"
"4281",85,10.585,33.9269,2.234,"2016"
"4282",100,10.481,33.9876,2.108,"2016"
"4283",120,10.288,34.1173,1.64,"2016"
"4284",125,10.282,34.1312,1.702,"2016"
"4285",140,9.917,34.1954,1.422,"2016"
"4286",150,9.842,34.2173,1.409,"2016"
"4287",170,9.414,34.229,1.296,"2016"
"4288",200,9.192,34.2301,1.283,"2016"
"4289",201,9.189,34.2307,1.264,"2016"
"4290",0,16.544,33.5513,6.273,"2016"
"4291",2,16.544,33.5513,6.273,"2016"
"4292",10,14.687,33.53,6.074,"2016"
"4293",20,13.621,33.5259,4.605,"2016"
"4294",21,13.181,33.5314,4.55,"2016"
"4295",30,12.127,33.5635,3.628,"2016"
"4296",31,12.081,33.5677,3.55,"2016"
"4297",41,11.715,33.592,3.352,"2016"
"4298",50,11.296,33.6965,2.854,"2016"
"4299",51,11.248,33.6993,2.889,"2016"
"4300",61,11.068,33.7728,2.694,"2016"
"4301",71,11.009,33.8128,2.574,"2016"
"4302",75,10.911,33.8572,2.484,"2016"
"4303",85,10.643,33.9484,2.202,"2016"
"4304",100,10.423,34.0318,1.99,"2016"
"4305",101,10.39,34.0293,1.992,"2016"
"4306",120,10.16,34.1127,1.799,"2016"
"4307",125,10.136,34.1221,1.744,"2016"
"4308",140,9.961,34.1447,1.669,"2016"
"4309",150,9.871,34.155,1.668,"2016"
"4310",171,9.679,34.2172,1.412,"2016"
"4311",200,9.291,34.2238,1.387,"2016"
"4312",231,8.842,34.2282,1.216,"2016"
"4313",250,8.678,34.2392,1.132,"2016"
"4314",270,8.31,34.2399,1.038,"2016"
"4315",300,7.925,34.2469,0.844,"2016"
"4316",321,7.674,34.2697,0.748,"2016"
"4317",381,7.314,34.2754,0.54,"2016"
"4318",400,7.169,34.2776,0.49,"2016"
"4319",441,6.721,34.2986,0.356,"2016"
"4320",500,6.431,34.316,0.287,"2016"
"4321",515,6.217,34.3308,0.23,"2016"
"4322",0,16.125,33.5312,5.898,"2016"
"4323",2,16.125,33.5312,5.898,"2016"
"4324",10,16.036,33.5312,5.93,"2016"
"4325",10,16.036,33.531,NA,"2016"
"4326",20,15.468,33.5312,6.071,"2016"
"4327",30,15.2,33.5358,6.077,"2016"
"4328",40,14.694,33.5222,5.639,"2016"
"4329",50,13.588,33.4571,4.974,"2016"
"4330",60,12.576,33.4556,4.304,"2016"
"4331",71,11.405,33.563,3.578,"2016"
"4332",75,11.178,33.6361,3.353,"2016"
"4333",85,10.974,33.7137,3.005,"2016"
"4334",100,10.8,33.7939,2.738,"2016"
"4335",120,10.488,33.8986,2.483,"2016"
"4336",125,10.499,33.9091,2.459,"2016"
"4337",140,10.186,34.0493,1.996,"2016"
"4338",150,10.083,34.1589,1.643,"2016"
"4339",170,9.843,34.1788,1.473,"2016"
"4340",200,9.439,34.2225,1.317,"2016"
"4341",230,8.883,34.2143,1.263,"2016"
"4342",250,8.698,34.2168,1.207,"2016"
"4343",270,8.468,34.2253,1.147,"2016"
"4344",300,8.093,34.2437,0.889,"2016"
"4345",320,7.832,34.2527,0.763,"2016"
"4346",0,16.451,33.5349,5.928,"2016"
"4347",2,16.451,33.5349,5.928,"2016"
"4348",10,16.376,33.5325,5.986,"2016"
"4349",10,16.376,33.5364,NA,"2016"
"4350",20,15.523,33.5243,6.031,"2016"
"4351",30,14.965,33.5079,5.901,"2016"
"4352",40,14.124,33.4929,5.095,"2016"
"4353",40,14.124,33.4907,NA,"2016"
"4354",50,12.644,33.4595,4.417,"2016"
"4355",60,12,33.4882,3.992,"2016"
"4356",70,11.582,33.5603,3.67,"2016"
"4357",75,11.176,33.6296,3.514,"2016"
"4358",85,10.705,33.6846,3.155,"2016"
"4359",100,10.564,33.7497,2.958,"2016"
"4360",120,10.302,33.8759,2.647,"2016"
"4361",125,10.381,33.9732,2.376,"2016"
"4362",140,10.276,34.0627,2.024,"2016"
"4363",150,10.261,34.1169,1.819,"2016"
"4364",171,10.029,34.1802,1.587,"2016"
"4365",200,9.635,34.2084,1.451,"2016"
"4366",231,9.226,34.2271,1.325,"2016"
"4367",250,8.891,34.2231,1.256,"2016"
"4368",271,8.608,34.2253,1.157,"2016"
"4369",300,8.19,34.2415,0.95,"2016"
"4370",321,7.956,34.25,0.827,"2016"
"4371",381,7.355,34.2794,0.528,"2016"
"4372",400,7.203,34.287,0.473,"2016"
"4373",441,6.78,34.3047,0.349,"2016"
"4374",500,6.271,34.3274,0.244,"2016"
"4375",519,6.154,34.3368,0.227,"2016"
"4376",0,16.544,33.5331,5.831,"2016"
"4377",2,16.544,33.5331,5.831,"2016"
"4378",10,15.794,33.5164,5.916,"2016"
"4379",11,15.711,33.5251,5.909,"2016"
"4380",10,15.711,33.5169,NA,"2016"
"4381",20,15.374,33.5046,5.987,"2016"
"4382",21,15.351,33.5075,5.986,"2016"
"4383",30,14.9,33.4976,5.876,"2016"
"4384",40,13.7,33.4406,5.122,"2016"
"4385",50,13.57,33.436,5.059,"2016"
"4386",51,13.438,33.4382,5.011,"2016"
"4387",60,12.93,33.4544,4.506,"2016"
"4388",71,11.737,33.4568,3.876,"2016"
"4389",75,11.566,33.4872,3.859,"2016"
"4390",86,11.049,33.5803,3.45,"2016"
"4391",100,10.653,33.7177,3.063,"2016"
"4392",120,10.187,33.8613,2.635,"2016"
"4393",125,9.951,33.8423,2.694,"2016"
"4394",141,9.841,33.9367,2.566,"2016"
"4395",150,9.656,33.9965,2.428,"2016"
"4396",170,9.364,34.0393,2.224,"2016"
"4397",200,9.086,34.1333,1.832,"2016"
"4398",230,8.844,34.2127,1.322,"2016"
"4399",250,8.601,34.2171,1.215,"2016"
"4400",270,8.364,34.2276,1.068,"2016"
"4401",300,8.061,34.2418,0.931,"2016"
"4402",321,7.829,34.2386,0.849,"2016"
"4403",380,7.372,34.2649,0.62,"2016"
"4404",400,7.213,34.2699,0.574,"2016"
"4405",440,6.83,34.2854,0.438,"2016"
"4406",500,6.422,34.3203,0.288,"2016"
"4407",516,6.327,34.3251,0.27,"2016"
"4408",0,15.868,33.4149,5.718,"2016"
"4409",3,15.868,33.4149,5.718,"2016"
"4410",10,15.626,33.3951,5.752,"2016"
"4411",11,15.617,33.3964,5.743,"2016"
"4412",10,15.617,33.3989,NA,"2016"
"4413",19,15.506,33.3964,5.76,"2016"
"4414",20,15.502,33.3912,5.757,"2016"
"4415",24,15.483,33.3976,5.753,"2016"
"4416",30,15.444,33.4208,5.749,"2016"
"4417",34,15.417,33.4197,5.773,"2016"
"4418",45,15.36,33.4351,5.751,"2016"
"4419",50,15.34,33.4284,5.738,"2016"
"4420",55,15.318,33.4294,5.731,"2016"
"4421",55,15.318,33.4292,NA,"2016"
"4422",66,14.442,33.4078,5.37,"2016"
"4423",75,14.369,33.3991,5.33,"2016"
"4424",76,14.166,33.4021,5.313,"2016"
"4425",86,12.986,33.3385,4.861,"2016"
"4426",94,12.232,33.3949,4.417,"2016"
"4427",100,11.945,33.4073,4.413,"2016"
"4428",110,11.323,33.451,4.053,"2016"
"4429",125,10.102,33.6486,3.378,"2016"
"4430",126,10.068,33.5823,3.577,"2016"
"4431",141,9.929,33.7528,3.084,"2016"
"4432",150,9.489,33.8487,2.96,"2016"
"4433",171,9.314,33.9128,2.644,"2016"
"4434",200,8.97,33.9878,2.408,"2016"
"4435",230,8.232,34.0701,1.907,"2016"
"4436",250,8.117,34.1014,1.71,"2016"
"4437",271,8.003,34.1355,1.447,"2016"
"4438",300,7.769,34.1598,1.263,"2016"
"4439",320,7.547,34.1765,1.062,"2016"
"4440",380,6.976,34.2182,0.699,"2016"
"4441",400,6.935,34.2235,0.646,"2016"
"4442",441,6.675,34.2584,0.497,"2016"
"4443",500,6.173,34.2815,0.35,"2016"
"4444",515,6.084,34.3,0.322,"2016"
"4445",0,15.685,33.4257,5.774,"2016"
"4446",2,15.685,33.4257,5.774,"2016"
"4447",10,15.683,33.4282,5.764,"2016"
"4448",20,15.556,33.4268,5.781,"2016"
"4449",25,15.549,33.4282,5.763,"2016"
"4450",30,15.54,33.4276,5.77,"2016"
"4451",41,15.448,33.4267,5.766,"2016"
"4452",50,15.402,33.4238,5.752,"2016"
"4453",51,15.38,33.4279,5.747,"2016"
"4454",63,15.14,33.4205,5.641,"2016"
"4455",75,14.055,33.4343,5.194,"2016"
"4456",76,13.926,33.4378,5.18,"2016"
"4457",88,13.208,33.4195,4.955,"2016"
"4458",100,12.634,33.4129,4.572,"2016"
"4459",113,11.316,33.4676,3.981,"2016"
